time[s], wr_x[mm], wr_y[mm] 
0.0003,-1463.8671,1173.6291
0.0485,-1463.9933,1173.7079
0.0503,-1463.8361,1173.7214
0.0647,-1463.5298,1173.7933
0.0655,-1462.8973,1173.7788
0.0720,-1461.6525,1173.5494
0.0958,-1459.7258,1173.4385
0.0968,-1457.5489,1173.4841
0.1017,-1455.0499,1173.5364
0.1274,-1452.5370,1173.5151
0.1281,-1450.2789,1173.4168
0.1319,-1448.2599,1173.3636
0.1417,-1445.8987,1173.3036
0.1519,-1443.6503,1173.0729
0.1616,-1441.1556,1172.8591
0.1719,-1438.4534,1172.6798
0.2032,-1432.9451,1172.6365
0.2041,-1429.9370,1172.3862
0.2117,-1427.1031,1172.2292
0.2219,-1424.4623,1172.1830
0.2322,-1421.4202,1171.9193
0.2421,-1418.4312,1171.7925
0.2517,-1415.6157,1171.7186
0.2618,-1412.6862,1171.5828
0.2716,-1409.6238,1171.5535
0.2951,-1406.7330,1171.4868
0.2958,-1403.7035,1171.2913
0.3018,-1400.6098,1171.2394
0.3258,-1397.8334,1171.1896
0.3268,-1394.9166,1171.0015
0.3316,-1391.8001,1170.9680
0.3561,-1389.0005,1170.9526
0.3570,-1386.1260,1170.7596
0.3618,-1383.0643,1170.6703
0.3867,-1380.2220,1170.5627
0.3876,-1377.3054,1170.4222
0.3916,-1374.1902,1170.3530
0.4020,-1371.2405,1170.1991
0.4185,-1368.4497,1170.0375
0.4219,-1365.4383,1170.0118
0.4317,-1362.3487,1169.8619
0.4506,-1359.5431,1169.8217
0.4514,-1356.5621,1169.6794
0.4619,-1353.5128,1169.3972
0.4883,-1350.7763,1169.3581
0.4892,-1347.8716,1169.2557
0.4916,-1344.7767,1169.0427
0.5019,-1342.0110,1168.9675
0.5194,-1338.9702,1168.8461
0.5218,-1335.7574,1168.5803
0.5317,-1332.9205,1168.4247
0.5508,-1329.9560,1168.2518
0.5516,-1326.9756,1167.9664
0.5619,-1324.0038,1167.8096
0.5821,-1321.3068,1167.7616
0.5830,-1318.2368,1167.3937
0.5917,-1315.2408,1167.2604
0.6019,-1312.2631,1167.0984
0.6117,-1309.3222,1166.8954
0.6219,-1306.3263,1166.6841
0.6445,-1303.5797,1166.5453
0.6455,-1300.6080,1166.3397
0.6518,-1297.5090,1166.0601
0.6751,-1294.5139,1165.8382
0.6758,-1291.4541,1165.6599
0.6818,-1288.2681,1165.4106
0.6916,-1285.4249,1165.2151
0.7019,-1282.4708,1164.9794
0.7116,-1279.5388,1164.7414
0.7219,-1276.5166,1164.5353
0.7318,-1273.5134,1164.4335
0.7419,-1270.4711,1164.2232
0.7517,-1267.5175,1164.0377
0.7621,-1264.4965,1163.9203
0.7718,-1261.3103,1163.5455
0.7820,-1258.3682,1163.3062
0.7917,-1255.4399,1163.2132
0.8158,-1252.5550,1162.6556
0.8166,-1249.6729,1162.3483
0.8218,-1246.8364,1162.3052
0.8473,-1244.0040,1162.0612
0.8482,-1241.1465,1162.0084
0.8517,-1238.3436,1161.7407
0.8621,-1235.4735,1161.2826
0.8783,-1232.6628,1161.2523
0.8819,-1229.8162,1161.1669
0.8917,-1226.8234,1160.7347
0.9096,-1223.8383,1160.4825
0.9117,-1220.8511,1160.2147
0.9219,-1217.7834,1159.7446
0.9409,-1214.7844,1159.5196
0.9419,-1211.7916,1159.1489
0.9518,-1208.8633,1158.8045
0.9723,-1206.0922,1158.6849
0.9730,-1203.2579,1158.2959
0.9819,-1200.3380,1157.9637
1.0032,-1197.4599,1157.8878
1.0041,-1194.4557,1157.5739
1.0117,-1191.4586,1157.3381
1.0219,-1188.5214,1157.2035
1.0316,-1185.5335,1156.9943
1.0420,-1182.5774,1156.7841
1.0660,-1179.7202,1156.4834
1.0670,-1176.7617,1156.1319
1.0717,-1173.8275,1155.8469
1.0979,-1170.9402,1155.5306
1.0987,-1168.0173,1155.2200
1.1019,-1165.0542,1154.9731
1.1117,-1162.2158,1154.7620
1.1293,-1159.2925,1154.4881
1.1317,-1156.2872,1154.2662
1.1419,-1153.3344,1153.9426
1.1609,-1150.2882,1153.6256
1.1618,-1147.3240,1153.4323
1.1717,-1144.4983,1153.0477
1.1920,-1141.6641,1152.7064
1.1928,-1138.7769,1152.4648
1.2018,-1135.9189,1152.1449
1.2375,-1129.9610,1151.5542
1.2385,-1126.9824,1151.0513
1.2417,-1124.0092,1150.8249
1.2519,-1120.9254,1150.4927
1.2678,-1117.9124,1149.9741
1.2717,-1114.8836,1149.7384
1.2817,-1111.9323,1149.3635
1.3025,-1109.0973,1149.0038
1.3033,-1106.2223,1148.8241
1.3119,-1103.2076,1148.4271
1.3338,-1100.1225,1147.9753
1.3347,-1097.0017,1147.7682
1.3416,-1093.9731,1147.3110
1.3782,-1087.8704,1146.6531
1.3790,-1084.8448,1146.1393
1.3819,-1081.8479,1145.8298
1.3916,-1078.7871,1145.6895
1.4094,-1075.6632,1145.2045
1.4117,-1072.5581,1144.8399
1.4219,-1069.5149,1144.6740
1.4404,-1066.5201,1144.2261
1.4417,-1063.4612,1143.9365
1.4517,-1060.3221,1143.6471
1.4618,-1057.2684,1143.1210
1.4717,-1054.2550,1142.8996
1.4819,-1051.2932,1142.3774
1.5032,-1048.2709,1141.8168
1.5040,-1045.3745,1141.5115
1.5116,-1042.4733,1140.9075
1.5345,-1039.5631,1140.4649
1.5352,-1036.6949,1140.1259
1.5418,-1033.7169,1139.5432
1.5656,-1030.7590,1139.3525
1.5665,-1027.8547,1139.1740
1.5717,-1024.8909,1138.7958
1.5973,-1021.9586,1138.5273
1.5980,-1018.9483,1138.1335
1.6019,-1015.7794,1137.4764
1.6122,-1012.6811,1136.9756
1.6284,-1009.7572,1136.4685
1.6317,-1006.7913,1136.0045
1.6417,-1003.8419,1135.6350
1.6593,-1000.9625,1135.0607
1.6618,-998.0184,1134.6329
1.6717,-995.0544,1134.2618
1.6911,-992.2448,1133.8480
1.6918,-989.3120,1133.5300
1.7019,-986.3537,1133.0769
1.7220,-983.3447,1132.7801
1.7228,-980.3191,1132.4263
1.7318,-977.3567,1131.9135
1.7522,-974.3825,1131.5236
1.7530,-971.3181,1131.1069
1.7619,-968.3745,1130.6714
1.7823,-965.4250,1130.3451
1.7832,-962.4375,1129.9127
1.7918,-959.5395,1129.4200
1.8019,-956.5718,1129.0576
1.8187,-953.5528,1128.6763
1.8219,-950.6282,1128.1203
1.8316,-947.5863,1127.6574
1.8501,-944.5753,1127.1873
1.8516,-941.7552,1126.7667
1.8618,-938.8300,1126.4639
1.8814,-935.8764,1126.0045
1.8823,-933.1257,1125.5591
1.8917,-930.2296,1125.1279
1.9127,-927.2599,1124.5983
1.9135,-924.4030,1124.1037
1.9219,-921.4179,1123.6138
1.9442,-918.3864,1123.0433
1.9451,-915.4510,1122.6278
1.9516,-912.4644,1122.2004
1.9873,-906.4486,1121.1809
1.9880,-903.4675,1120.7700
1.9919,-900.5043,1120.2799
2.0016,-897.5919,1119.7697
2.0188,-894.6029,1119.2051
2.0217,-891.6222,1118.7039
2.0318,-888.6624,1118.1609
2.0499,-885.7338,1117.6137
2.0517,-882.8158,1117.1819
2.0617,-879.8005,1116.6650
2.0815,-876.6931,1116.1730
2.0822,-873.6040,1115.6722
2.0918,-870.5540,1115.1948
2.1124,-867.5097,1114.7381
2.1134,-864.4088,1114.2121
2.1216,-861.3158,1113.6702
2.1443,-858.2732,1113.2857
2.1450,-855.2886,1112.6841
2.1520,-852.3913,1111.9709
2.1752,-849.4526,1111.6385
2.1761,-846.5569,1111.0026
2.1816,-843.6901,1110.3070
2.2066,-840.7378,1109.8188
2.2073,-837.7692,1109.1135
2.2118,-834.8870,1108.6079
2.2218,-831.9074,1108.1237
2.2377,-828.9072,1107.4590
2.2415,-825.9583,1107.0051
2.2519,-822.9719,1106.6803
2.2844,-817.1806,1105.6728
2.2854,-814.2174,1104.9441
2.2916,-811.2913,1104.2314
2.3199,-808.4228,1103.7134
2.3207,-805.3870,1103.0181
2.3217,-802.3822,1102.3948
2.3318,-799.5035,1101.8176
2.3513,-796.5644,1101.1149
2.3521,-793.6385,1100.5212
2.3618,-790.8344,1100.0090
2.3822,-787.9175,1099.3615
2.3832,-785.0044,1098.8455
2.3917,-782.2090,1098.3157
2.4137,-779.3525,1097.6536
2.4145,-776.4572,1097.1420
2.4219,-773.5006,1096.6042
2.4450,-770.4534,1095.9206
2.4459,-767.4266,1095.4267
2.4516,-764.4253,1094.9238
2.4787,-761.4284,1094.3709
2.4795,-758.5131,1093.8218
2.4818,-755.6217,1093.0973
2.4918,-752.6180,1092.4656
2.5104,-749.6633,1091.9420
2.5116,-746.7740,1091.1105
2.5218,-743.8422,1090.6238
2.5415,-740.9756,1090.1336
2.5424,-738.0668,1089.1802
2.5517,-735.0654,1088.5946
2.5728,-732.2101,1088.0629
2.5735,-729.3037,1087.2265
2.5817,-726.3763,1086.8801
2.5916,-723.6003,1086.2361
2.6132,-720.7307,1085.2586
2.6139,-717.8070,1084.8547
2.6218,-715.0155,1084.2640
2.6443,-712.0736,1083.3939
2.6452,-709.0185,1082.9646
2.6516,-706.1827,1082.2983
2.6618,-703.2988,1081.4796
2.6716,-700.3304,1081.0902
2.6819,-697.5646,1080.3101
2.7070,-694.6871,1079.5092
2.7079,-691.6745,1079.0852
2.7116,-688.8720,1078.2958
2.7220,-685.9635,1077.6180
2.7383,-682.9526,1077.1595
2.7418,-680.0648,1076.2188
2.7516,-677.1313,1075.5527
2.7693,-674.1521,1075.1341
2.7715,-671.3852,1074.2972
2.7817,-668.3886,1073.7067
2.8158,-662.4453,1072.2260
2.8167,-659.4539,1071.6863
2.8216,-656.6515,1070.8273
2.8535,-651.0835,1069.4895
2.8542,-648.2480,1068.7429
2.8618,-645.4131,1068.0406
2.8845,-642.6038,1067.2523
2.8854,-639.7384,1066.5394
2.8917,-636.9205,1065.8394
2.9163,-634.0677,1064.9991
2.9171,-631.0688,1064.2844
2.9218,-628.1031,1063.6562
2.9472,-625.1510,1062.8566
2.9482,-622.2133,1062.0877
2.9516,-619.3948,1061.2299
2.9618,-616.6654,1060.4149
2.9783,-613.9012,1059.8866
2.9819,-611.1434,1059.1032
2.9916,-608.2822,1058.1387
3.0100,-605.3471,1057.4287
3.0115,-602.5259,1056.5101
3.0218,-599.5378,1055.6378
3.0409,-596.5195,1054.9750
3.0418,-593.6971,1054.1260
3.0516,-590.8889,1053.4431
3.0725,-588.0816,1052.7773
3.0731,-585.3572,1051.9025
3.0818,-582.4998,1051.1147
3.1036,-579.5561,1050.3470
3.1044,-576.6824,1049.4093
3.1117,-573.6922,1048.6535
3.1351,-570.6470,1047.9619
3.1358,-567.7434,1047.0779
3.1418,-564.6593,1046.4153
3.1660,-561.5925,1045.6876
3.1670,-558.6704,1044.7327
3.1716,-555.6396,1044.0638
3.1819,-552.6548,1043.3929
3.2059,-549.8371,1042.3293
3.2067,-546.8339,1041.4772
3.2116,-543.7995,1040.6656
3.2375,-540.8373,1039.7098
3.2383,-537.8637,1038.9560
3.2418,-534.9772,1038.0288
3.2516,-532.1297,1037.0723
3.2691,-529.2046,1036.2985
3.2716,-526.3030,1035.4278
3.2818,-523.3918,1034.5790
3.3000,-520.4474,1033.8469
3.3017,-517.5713,1032.9693
3.3116,-514.6917,1032.0519
3.3308,-511.7295,1031.2585
3.3316,-508.8082,1030.4638
3.3525,-505.8155,1029.5815
