time[s], wr_x[mm], wr_y[mm], spd, spd_avg 
0.0004,-1108.2491,81.4020,0.0000,0.0000
0.0748,-1108.2284,81.4149,0.0000,0.0000
0.0858,-1108.2331,81.4075,0.0000,0.0000
0.0919,-1108.2255,81.4171,0.0000,0.0000
0.0978,-1108.2125,81.4109,0.0000,0.0000
0.1145,-1108.2299,81.4242,0.0000,0.0000
0.1172,-1108.1948,81.4296,0.0000,0.0000
0.1422,-1108.1981,81.3976,0.0000,0.0000
0.1448,-1108.1398,81.4227,0.0000,0.0000
0.1473,-1108.0237,81.4155,0.0000,0.0000
0.1617,-1107.7972,81.3867,0.0000,0.0000
0.1659,-1107.5349,81.3711,0.0000,0.0000
0.1756,-1107.2470,81.3420,0.0000,0.0000
0.1865,-1106.8464,81.2820,0.0000,0.0000
0.2081,-1106.3740,81.2734,0.0000,0.0000
0.2202,-1105.9977,81.2523,0.0000,0.0000
0.2222,-1105.7131,81.2012,0.0000,0.0000
0.2257,-1105.4369,81.1947,0.0000,0.0000
0.2522,-1105.1889,81.1980,0.0000,0.0000
0.2546,-1104.9553,81.1555,0.0000,0.0000
0.2566,-1104.7118,81.1088,0.0000,0.0000
0.2659,-1104.5491,81.1179,0.0000,0.0000
0.2843,-1104.4671,81.1192,0.0000,0.0000
0.2867,-1104.5229,81.1012,0.0000,0.0000
0.2954,-1104.6609,81.1303,0.0000,0.0000
0.3154,-1104.8597,81.1327,0.0000,0.0000
0.3181,-1104.9790,81.1411,0.0000,0.0000
0.3261,-1105.0224,81.1804,0.0000,0.0000
0.3494,-1104.9195,81.1821,0.0000,0.0000
0.3516,-1104.7453,81.1240,0.0000,0.0000
0.3554,-1104.5457,81.1260,0.0000,0.0000
0.3864,-1104.3218,81.0954,0.0000,0.0000
0.3890,-1104.3983,81.1044,0.0000,0.0000
0.3957,-1104.5070,81.1279,0.0000,0.0000
0.4289,-1104.6355,81.1235,0.0000,0.0000
0.4314,-1104.6400,81.1337,0.0000,0.0000
0.4359,-1104.5951,81.1060,0.0000,0.0000
0.4461,-1104.5586,81.1252,0.0000,0.0000
0.4559,-1104.4930,81.1370,0.0000,0.0000
0.4714,-1104.3586,81.1292,0.0000,0.0000
0.4920,-1104.1340,81.0966,0.0000,0.0000
0.4941,-1103.8711,81.1004,0.0000,0.0000
0.4960,-1103.5961,81.0636,0.0000,0.0000
0.5057,-1103.3170,81.0117,0.0000,0.0000
0.5158,-1103.0833,80.9928,0.0000,0.0000
0.5270,-1102.8132,80.9643,0.0000,0.0000
0.5363,-1102.4627,80.9172,0.0000,0.0000
0.5464,-1102.2861,80.9609,0.0000,0.0000
0.5558,-1102.2464,80.9543,0.0000,0.0000
0.5660,-1102.2663,80.8928,0.0000,0.0000
0.5832,-1102.2742,80.9426,0.0000,0.0000
0.5856,-1102.2494,80.9688,0.0000,0.0000
0.5956,-1102.1741,80.9004,0.0000,0.0000
0.6058,-1101.8820,80.9220,0.0000,0.0000
0.6156,-1101.2437,80.8416,0.0000,0.0000
0.6499,-1099.5926,80.6949,0.0000,0.0000
0.6522,-1098.8831,80.6959,0.0000,0.0000
0.6557,-1098.2051,80.6569,0.0000,0.0000
0.6919,-1097.0822,80.5741,0.0000,0.0000
0.6942,-1096.5945,80.4943,0.0000,0.0000
0.6962,-1096.1634,80.4893,0.0000,0.0000
0.7062,-1095.8784,80.4727,0.0000,0.0000
0.7372,-1095.5703,80.4374,0.0000,0.0000
0.7395,-1095.7487,80.4550,0.0000,0.0000
0.7461,-1096.0162,80.4787,0.0000,0.0000
0.7800,-1096.5334,80.5086,0.0000,0.0000
0.7821,-1096.8308,80.5589,0.0000,0.0000
0.7855,-1097.1222,80.5779,0.0000,0.0000
0.8218,-1097.8457,80.6255,0.0000,0.0000
0.8238,-1098.0671,80.6529,0.0000,0.0000
0.8257,-1098.1341,80.6108,0.0000,0.0000
0.8365,-1098.0463,80.5836,0.0000,0.0000
0.8456,-1097.8240,80.6088,0.0000,0.0000
0.8560,-1097.5884,80.5898,0.0000,0.0000
0.8661,-1097.4362,80.5883,0.0000,0.0000
