time[s], wr_x[mm], wr_y[mm], spd, spd_avg 
0.0004,-139.8302,-13.5709,0.0000,0.0000
0.0640,-139.7715,-13.5638,0.0000,0.0000
0.0740,-139.7668,-13.5681,0.0000,0.0000
0.0823,-139.7618,-13.5502,0.0000,0.0000
0.0868,-139.8307,-13.5197,0.0000,0.0000
0.1011,-139.9406,-13.4221,0.0000,0.0000
0.1038,-139.8829,-13.3749,0.0000,0.0000
0.1117,-139.9470,-13.2128,0.0000,0.0000
0.1221,-139.9303,-13.0143,0.0000,0.0000
0.1318,-139.8875,-12.6040,0.0000,0.0000
0.1418,-139.9563,-12.1200,0.0000,0.0000
0.1516,-139.9329,-11.9565,0.0000,0.0000
0.1622,-140.1204,-11.6660,0.0000,0.0000
0.1922,-140.3280,-11.0850,0.0000,0.0000
0.1950,-140.5312,-10.7054,0.0000,0.0000
0.2028,-140.6641,-10.3766,0.0000,0.0000
0.2119,-140.9024,-9.9585,0.0000,0.0000
0.2217,-141.1863,-9.5781,0.0000,0.0000
0.2320,-141.3903,-9.1874,0.0000,0.0000
0.2418,-141.6474,-8.7125,0.0000,0.0000
0.2519,-142.2064,-7.9678,0.0000,0.0000
0.2617,-142.5562,-7.4547,0.0000,0.0000
0.2721,-142.7748,-6.9881,0.0000,0.0000
0.2818,-143.4380,-6.2864,0.0000,0.0000
0.2919,-143.9537,-5.8255,0.0000,0.0000
0.3017,-144.1894,-5.6338,0.0000,0.0000
0.3120,-144.7255,-4.9462,0.0000,0.0000
0.3219,-145.5057,-4.1066,0.0000,0.0000
0.3535,-146.3776,-3.0501,0.0000,0.0000
0.3560,-147.0464,-2.6663,0.0000,0.0000
0.3621,-147.7423,-2.3504,0.0000,0.0000
0.3718,-148.5137,-1.8805,0.0000,0.0000
0.3817,-149.2155,-1.4719,0.0000,0.0000
0.3917,-150.1087,-1.0044,0.0000,0.0000
0.4020,-151.0899,-0.3651,0.0000,0.0000
0.4118,-151.8574,0.1122,0.0000,0.0000
0.4221,-152.5994,0.4284,0.0000,0.0000
0.4319,-153.6313,0.9356,0.0000,0.0000
0.4419,-154.6766,1.3719,0.0000,0.0000
0.4560,-155.4050,1.6652,0.0000,0.0000
0.4621,-156.5552,2.1121,0.0000,0.0000
0.4713,-157.8327,2.5451,0.0000,0.0000
0.4815,-158.4980,2.7807,0.0000,0.0000
0.4914,-159.4070,3.0424,0.0000,0.0000
0.5017,-160.6457,3.2550,0.0000,0.0000
0.5119,-161.5001,3.4253,0.0000,0.0000
0.5220,-162.3372,3.6073,0.0000,0.0000
0.5317,-163.5000,3.7243,0.0000,0.0000
0.5609,-165.4630,4.0451,0.0000,0.0000
0.5630,-166.8086,4.2105,0.0000,0.0000
0.5716,-167.7290,4.3012,0.0000,0.0000
0.6056,-170.0485,4.4469,0.0000,0.0000
0.6080,-171.0704,4.4075,0.0000,0.0000
0.6114,-171.8160,4.2010,0.0000,0.0000
0.6481,-173.8431,4.0130,0.0000,0.0000
0.6503,-174.4279,3.9532,0.0000,0.0000
0.6521,-174.6670,3.8400,0.0000,0.0000
0.6615,-174.8911,3.8271,0.0000,0.0000
0.6714,-175.0829,3.7751,0.0000,0.0000
0.6817,-175.1773,3.6276,0.0000,0.0000
0.6928,-175.2008,3.3375,0.0000,0.0000
0.7018,-175.2405,2.9972,0.0000,0.0000
0.7123,-175.3212,2.7527,0.0000,0.0000
0.7218,-175.6662,2.6198,0.0000,0.0000
0.7322,-175.9434,2.4744,0.0000,0.0000
0.7419,-176.2432,2.2490,0.0000,0.0000
0.7517,-176.6623,2.0202,0.0000,0.0000
0.7616,-177.0698,1.7443,0.0000,0.0000
0.7718,-177.5178,1.6397,0.0000,0.0000
0.7817,-177.8445,1.4083,0.0000,0.0000
0.8146,-179.0447,0.7876,0.0000,0.0000
0.8170,-179.4904,0.5300,0.0000,0.0000
0.8217,-179.9021,0.2865,0.0000,0.0000
0.8577,-181.3606,-0.5478,0.0000,0.0000
0.8599,-181.9140,-0.9217,0.0000,0.0000
0.8620,-182.5149,-1.3705,0.0000,0.0000
0.8721,-183.1151,-1.8800,0.0000,0.0000
0.8879,-183.4203,-2.2484,0.0000,0.0000
0.8919,-183.6150,-2.5214,0.0000,0.0000
0.9023,-183.7386,-2.7133,0.0000,0.0000
0.9120,-183.6438,-2.7118,0.0000,0.0000
0.9218,-183.4941,-2.6322,0.0000,0.0000
0.9330,-183.3760,-2.6720,0.0000,0.0000
0.9654,-182.8222,-2.9336,0.0000,0.0000
0.9677,-182.6153,-3.0892,0.0000,0.0000
0.9714,-182.4835,-3.2896,0.0000,0.0000
1.0078,-182.3533,-3.6629,0.0000,0.0000
1.0102,-182.2308,-3.8751,0.0000,0.0000
1.0123,-182.1839,-4.0552,0.0000,0.0000
1.0221,-182.2516,-4.2942,0.0000,0.0000
1.0535,-182.3587,-4.7729,0.0000,0.0000
1.0560,-182.4704,-5.0449,0.0000,0.0000
1.0618,-182.5193,-5.3298,0.0000,0.0000
1.0826,-182.5103,-5.5518,0.0000,0.0000
1.0847,-182.4335,-5.7281,0.0000,0.0000
1.0916,-182.3486,-5.9472,0.0000,0.0000
1.1144,-182.1678,-6.1947,0.0000,0.0000
1.1167,-181.9333,-6.3813,0.0000,0.0000
1.1214,-181.8390,-6.6028,0.0000,0.0000
1.1347,-181.8326,-6.9045,0.0000,0.0000
1.1500,-181.7829,-7.1606,0.0000,0.0000
1.1520,-181.7538,-7.4173,0.0000,0.0000
1.1617,-181.8002,-7.7034,0.0000,0.0000
1.1718,-181.9159,-7.9907,0.0000,0.0000
1.1826,-182.0326,-8.2831,0.0000,0.0000
1.1916,-182.1007,-8.6548,0.0000,0.0000
1.2138,-182.0585,-8.8947,0.0000,0.0000
1.2160,-181.9894,-9.1018,0.0000,0.0000
1.2212,-181.9993,-9.3855,0.0000,0.0000
