time[s], wr_x[mm], wr_y[mm], spd, spd_avg 
0.0005,-1298.0903,-36.3094,0.0000,0.0000
0.0647,-1298.1301,-36.3005,0.0000,0.0000
0.0737,-1298.1436,-36.2927,0.0000,0.0000
0.0797,-1298.1229,-36.2678,0.0000,0.0000
0.0856,-1298.0258,-36.3104,0.0000,0.0000
0.1021,-1297.8798,-36.2974,0.0000,0.0000
0.1147,-1297.5137,-36.2527,0.0000,0.0000
0.1169,-1296.7536,-36.2662,0.0000,0.0000
0.1235,-1295.7014,-36.2833,0.0000,0.0000
0.1346,-1294.5856,-36.2887,0.0000,0.0000
0.1440,-1293.3544,-36.3268,0.0000,0.0000
0.1540,-1292.1906,-36.2951,0.0000,0.0000
0.1871,-1290.3219,-36.2002,0.0000,0.0000
0.1894,-1289.6957,-36.1607,0.0000,0.0000
0.1938,-1289.4196,-36.1686,0.0000,0.0000
0.2310,-1289.3862,-36.1565,0.0000,0.0000
0.2333,-1289.2830,-36.1642,0.0000,0.0000
0.2354,-1289.2645,-36.1442,0.0000,0.0000
0.2437,-1289.2911,-36.1849,0.0000,0.0000
0.2597,-1289.4097,-36.1574,0.0000,0.0000
0.2635,-1289.5407,-36.1404,0.0000,0.0000
0.2739,-1289.5507,-36.1376,0.0000,0.0000
0.2837,-1289.4891,-36.1081,0.0000,0.0000
0.2946,-1289.2421,-36.1132,0.0000,0.0000
0.3039,-1288.4368,-36.2587,0.0000,0.0000
0.3342,-1286.1485,-36.1964,0.0000,0.0000
0.3366,-1284.8001,-36.1785,0.0000,0.0000
0.3442,-1283.3249,-36.2694,0.0000,0.0000
0.3540,-1282.1495,-36.2535,0.0000,0.0000
0.3641,-1281.0464,-36.1754,0.0000,0.0000
0.3739,-1279.8321,-36.1865,0.0000,0.0000
0.4036,-1277.5938,-36.2693,0.0000,0.0000
0.4060,-1276.8135,-36.3234,0.0000,0.0000
0.4137,-1276.2785,-36.3464,0.0000,0.0000
0.4347,-1275.9309,-36.2816,0.0000,0.0000
0.4370,-1275.5182,-36.2820,0.0000,0.0000
0.4434,-1275.1357,-36.2980,0.0000,0.0000
0.4543,-1274.7926,-36.2874,0.0000,0.0000
0.4638,-1274.5090,-36.2781,0.0000,0.0000
0.4742,-1274.2835,-36.2975,0.0000,0.0000
0.4835,-1274.1057,-36.2468,0.0000,0.0000
0.4937,-1273.8456,-36.2362,0.0000,0.0000
0.5075,-1273.6044,-36.2649,0.0000,0.0000
0.5138,-1273.4012,-36.1803,0.0000,0.0000
0.5241,-1272.7000,-36.1213,0.0000,0.0000
0.5352,-1271.7155,-36.1242,0.0000,0.0000
0.5690,-1268.9224,-36.1747,0.0000,0.0000
0.5713,-1267.4029,-36.3340,0.0000,0.0000
0.5734,-1266.3063,-36.2248,0.0000,0.0000
0.5840,-1265.4099,-36.0745,0.0000,0.0000
0.5995,-1264.0738,-36.0568,0.0000,0.0000
0.6037,-1263.0028,-36.0191,0.0000,0.0000
0.6136,-1262.0034,-36.0343,0.0000,0.0000
0.6432,-1260.6064,-36.2038,0.0000,0.0000
0.6454,-1260.2318,-36.0949,0.0000,0.0000
0.6539,-1260.0498,-36.0183,0.0000,0.0000
0.6635,-1259.5995,-36.0997,0.0000,0.0000
0.6739,-1259.6180,-36.0527,0.0000,0.0000
0.6837,-1259.7350,-36.0393,0.0000,0.0000
0.6939,-1259.6750,-36.0090,0.0000,0.0000
0.7032,-1259.3400,-36.0760,0.0000,0.0000
0.7138,-1259.2061,-36.0419,0.0000,0.0000
0.7236,-1258.8608,-35.9522,0.0000,0.0000
0.7340,-1257.6730,-36.0573,0.0000,0.0000
0.7439,-1256.3325,-36.0085,0.0000,0.0000
0.7539,-1255.1595,-35.9125,0.0000,0.0000
0.7836,-1252.9952,-35.8127,0.0000,0.0000
0.7859,-1251.4823,-35.8997,0.0000,0.0000
0.7933,-1250.0638,-35.9727,0.0000,0.0000
0.8265,-1248.2981,-35.7478,0.0000,0.0000
0.8288,-1247.6241,-35.8033,0.0000,0.0000
0.8334,-1247.3961,-35.8193,0.0000,0.0000
0.8692,-1247.6672,-35.7943,0.0000,0.0000
0.8716,-1247.6543,-35.8153,0.0000,0.0000
0.8736,-1247.7839,-35.8023,0.0000,0.0000
0.8840,-1247.7668,-35.8493,0.0000,0.0000
0.8998,-1248.0360,-35.8113,0.0000,0.0000
0.9036,-1248.0932,-35.8025,0.0000,0.0000
0.9137,-1248.0607,-35.8204,0.0000,0.0000
0.9236,-1248.1652,-35.6919,0.0000,0.0000
