time[s], wr_x[mm], wr_y[mm], spd, spd_avg 
0.0004,-335.4885,-44.4492,0.0000,0.0000
0.0667,-335.5179,-44.3868,0.0000,0.0000
0.0754,-335.5240,-44.4092,0.0000,0.0000
0.0942,-335.4775,-44.4214,0.0000,0.0000
0.0981,-335.4219,-44.4128,0.0000,0.0000
0.1145,-335.0669,-44.4348,0.0000,0.0000
0.1204,-334.2366,-44.4825,0.0000,0.0000
0.1235,-332.9663,-44.4963,0.0000,0.0000
0.1338,-331.3823,-44.5330,0.0000,0.0000
0.1433,-329.4655,-44.6214,0.0000,0.0000
0.1648,-327.4992,-44.7068,0.0000,0.0000
0.1671,-325.7103,-44.7509,0.0000,0.0000
0.1738,-323.9617,-44.7914,0.0000,0.0000
0.1842,-322.3496,-44.7157,0.0000,0.0000
0.1951,-321.1212,-44.7880,0.0000,0.0000
0.2038,-320.3946,-44.9715,0.0000,0.0000
0.2141,-320.0226,-45.0267,0.0000,0.0000
0.2238,-319.9390,-45.0542,0.0000,0.0000
0.2537,-319.9089,-44.9349,0.0000,0.0000
0.2562,-319.8277,-44.9532,0.0000,0.0000
0.2643,-319.7427,-44.9400,0.0000,0.0000
0.2739,-319.3716,-44.8478,0.0000,0.0000
0.2839,-318.4710,-44.8452,0.0000,0.0000
0.2936,-317.0629,-44.9456,0.0000,0.0000
0.3040,-315.2599,-45.0072,0.0000,0.0000
0.3138,-313.1098,-45.1112,0.0000,0.0000
0.3240,-310.9075,-45.2912,0.0000,0.0000
0.3342,-308.9374,-45.4273,0.0000,0.0000
0.3440,-306.9771,-45.5623,0.0000,0.0000
0.3539,-305.0003,-45.4561,0.0000,0.0000
0.3641,-303.3870,-45.5627,0.0000,0.0000
0.3741,-302.4911,-45.8254,0.0000,0.0000
0.3841,-302.1421,-45.9121,0.0000,0.0000
0.3940,-302.0936,-45.8499,0.0000,0.0000
0.4237,-302.4936,-45.6519,0.0000,0.0000
0.4260,-302.6223,-45.6482,0.0000,0.0000
0.4343,-302.6755,-45.7623,0.0000,0.0000
0.4677,-302.1470,-45.6417,0.0000,0.0000
0.4700,-301.0234,-45.6227,0.0000,0.0000
0.4738,-299.5654,-45.7289,0.0000,0.0000
0.4846,-297.8579,-45.8220,0.0000,0.0000
0.4939,-296.2388,-45.7985,0.0000,0.0000
0.5042,-294.5845,-45.8661,0.0000,0.0000
0.5138,-292.8256,-45.9465,0.0000,0.0000
0.5239,-291.1352,-46.0390,0.0000,0.0000
0.5339,-289.7161,-46.1373,0.0000,0.0000
0.5443,-288.8315,-46.2264,0.0000,0.0000
0.5538,-288.5161,-46.3470,0.0000,0.0000
0.5640,-288.4917,-46.3586,0.0000,0.0000
0.5739,-288.6229,-46.3093,0.0000,0.0000
0.5842,-288.7435,-46.2353,0.0000,0.0000
0.5938,-288.7654,-46.2247,0.0000,0.0000
0.6041,-288.7131,-46.1848,0.0000,0.0000
0.6139,-288.3207,-46.0744,0.0000,0.0000
0.6240,-287.2524,-45.9623,0.0000,0.0000
0.6337,-285.5473,-45.9713,0.0000,0.0000
0.6436,-283.4283,-46.1089,0.0000,0.0000
0.6538,-281.0210,-46.3321,0.0000,0.0000
0.6637,-278.7559,-46.4459,0.0000,0.0000
0.6736,-276.4631,-46.3834,0.0000,0.0000
0.6836,-274.0503,-46.3825,0.0000,0.0000
0.6938,-272.0213,-46.5588,0.0000,0.0000
0.7281,-270.0410,-46.7189,0.0000,0.0000
0.7304,-269.6381,-46.6674,0.0000,0.0000
0.7346,-269.6078,-46.4981,0.0000,0.0000
0.7633,-270.3429,-45.9617,0.0000,0.0000
0.7656,-270.4845,-45.9985,0.0000,0.0000
0.7938,-270.6479,-46.1392,0.0000,0.0000
0.7961,-270.8618,-46.0864,0.0000,0.0000
0.8042,-271.0191,-45.9841,0.0000,0.0000
0.8377,-270.1149,-45.8963,0.0000,0.0000
0.8401,-268.8302,-46.0724,0.0000,0.0000
0.8438,-267.2334,-46.2754,0.0000,0.0000
