time[s], wr_x[mm], wr_y[mm], spd, spd_avg 
0.0003,-14.4512,33.1692,0.0000,0.0000
0.0657,-14.4207,33.1574,0.0000,0.0000
0.0748,-14.4087,33.1601,0.0000,0.0000
0.0819,-14.4265,33.1584,0.0000,0.0000
0.0867,-14.4307,33.1934,0.0000,0.0000
0.1093,-14.9187,33.3388,0.0000,0.0000
0.1123,-15.1274,33.2713,0.0000,0.0000
0.1299,-15.5618,32.8173,0.0000,0.0000
0.1319,-15.7783,32.6657,0.0000,0.0000
0.1406,-15.9664,32.3470,0.0000,0.0000
0.1517,-16.4215,31.8426,0.0000,0.0000
0.1611,-16.7290,31.9119,0.0000,0.0000
0.1712,-17.1586,31.8540,0.0000,0.0000
0.1815,-17.5975,31.4527,0.0000,0.0000
0.1912,-18.0558,31.1278,0.0000,0.0000
0.2220,-19.1653,30.8658,0.0000,0.0000
0.2244,-19.7945,30.7800,0.0000,0.0000
0.2309,-20.2263,30.6887,0.0000,0.0000
0.2408,-20.8660,30.3676,0.0000,0.0000
0.2514,-21.6949,30.0303,0.0000,0.0000
0.2612,-22.3128,29.7148,0.0000,0.0000
0.2723,-23.0980,29.2517,0.0000,0.0000
0.2811,-24.0309,29.0850,0.0000,0.0000
0.3111,-25.4413,28.8650,0.0000,0.0000
0.3134,-26.3957,28.7330,0.0000,0.0000
0.3207,-27.0784,28.8434,0.0000,0.0000
0.3610,-29.5677,28.1576,0.0000,0.0000
0.3632,-30.1144,28.1404,0.0000,0.0000
0.3975,-31.8051,28.1378,0.0000,0.0000
0.3998,-32.2448,28.3501,0.0000,0.0000
0.4020,-32.9563,28.4616,0.0000,0.0000
0.4111,-33.6929,28.6188,0.0000,0.0000
0.4275,-34.2426,28.7921,0.0000,0.0000
0.4308,-34.8695,29.0179,0.0000,0.0000
0.4409,-35.6112,29.2988,0.0000,0.0000
0.4571,-36.2559,29.4355,0.0000,0.0000
0.4611,-36.9843,29.6161,0.0000,0.0000
0.4714,-37.6902,29.7847,0.0000,0.0000
0.4815,-38.3767,29.8209,0.0000,0.0000
0.5113,-39.9866,30.0613,0.0000,0.0000
