time[s], wr_x[mm], wr_y[mm], spd, spd_avg 
0.0003,-163.4227,-12.7851,0.0000,0.0000
0.0927,-163.4787,-12.7404,0.0000,0.0000
0.1040,-163.3892,-12.7600,0.0000,0.0000
0.1110,-163.4269,-12.8001,0.0000,0.0000
0.1156,-163.2643,-12.7382,0.0000,0.0000
0.1419,-160.6456,-12.3007,0.0000,0.0000
0.1447,-158.4100,-12.1442,0.0000,0.0000
0.1482,-155.8455,-11.9901,0.0000,0.0000
0.1587,-153.2105,-12.0220,0.0000,0.0000
0.1686,-151.0679,-11.9182,0.0000,0.0000
0.1786,-149.5479,-11.8378,0.0000,0.0000
0.1889,-148.2179,-11.9131,0.0000,0.0000
0.1989,-147.2816,-11.9195,0.0000,0.0000
0.2095,-146.7017,-11.6412,0.0000,0.0000
0.2191,-146.0548,-11.5805,0.0000,0.0000
0.2285,-145.5029,-11.5014,0.0000,0.0000
0.2388,-145.0797,-11.4945,0.0000,0.0000
0.2688,-144.5722,-11.4810,0.0000,0.0000
0.2712,-144.3302,-11.4517,0.0000,0.0000
0.2787,-144.1026,-11.4386,0.0000,0.0000
0.3112,-143.9196,-11.4372,0.0000,0.0000
0.3137,-143.9612,-11.4334,0.0000,0.0000
0.3188,-144.0163,-11.4349,0.0000,0.0000
0.3533,-144.2169,-11.4835,0.0000,0.0000
0.3556,-144.3285,-11.4924,0.0000,0.0000
0.3585,-144.4233,-11.4964,0.0000,0.0000
0.3689,-144.5244,-11.4691,0.0000,0.0000
0.3789,-144.6422,-11.4701,0.0000,0.0000
0.3890,-144.7294,-11.4678,0.0000,0.0000
0.3997,-144.7646,-11.4427,0.0000,0.0000
0.4087,-144.7725,-11.4467,0.0000,0.0000
0.4189,-144.7738,-11.4732,0.0000,0.0000
0.4287,-144.7769,-11.4954,0.0000,0.0000
0.4629,-144.7954,-11.4866,0.0000,0.0000
0.4651,-144.7937,-11.5255,0.0000,0.0000
0.4685,-144.7438,-11.5104,0.0000,0.0000
0.5060,-144.7578,-11.4891,0.0000,0.0000
0.5084,-144.7689,-11.4392,0.0000,0.0000
0.5108,-144.7818,-11.4428,0.0000,0.0000
0.5207,-144.7821,-11.4458,0.0000,0.0000
0.5502,-144.7497,-11.4993,0.0000,0.0000
0.5525,-144.7387,-11.5261,0.0000,0.0000
0.5585,-144.7432,-11.5202,0.0000,0.0000
0.5949,-144.7059,-11.4501,0.0000,0.0000
0.5972,-144.5876,-11.4588,0.0000,0.0000
0.5994,-144.3451,-11.4464,0.0000,0.0000
0.6088,-144.0874,-11.4030,0.0000,0.0000
0.6251,-143.8924,-11.4425,0.0000,0.0000
0.6283,-143.7631,-11.4465,0.0000,0.0000
0.6390,-143.6283,-11.4250,0.0000,0.0000
0.6614,-143.4743,-11.4071,0.0000,0.0000
0.6642,-143.3653,-11.4133,0.0000,0.0000
0.6685,-143.3090,-11.4321,0.0000,0.0000
0.6997,-143.3490,-11.4175,0.0000,0.0000
0.7020,-143.3987,-11.4021,0.0000,0.0000
0.7088,-143.4333,-11.4503,0.0000,0.0000
0.7186,-143.4648,-11.4644,0.0000,0.0000
0.7286,-143.4938,-11.4088,0.0000,0.0000
0.7387,-143.5151,-11.4108,0.0000,0.0000
0.7491,-143.4590,-11.4177,0.0000,0.0000
0.7589,-143.4007,-11.4167,0.0000,0.0000
0.7688,-143.2423,-11.4106,0.0000,0.0000
0.7787,-143.0143,-11.3991,0.0000,0.0000
0.7889,-142.6846,-11.3705,0.0000,0.0000
0.7987,-142.3884,-11.3906,0.0000,0.0000
0.8087,-142.1051,-11.4324,0.0000,0.0000
0.8186,-141.7981,-11.4730,0.0000,0.0000
0.8289,-141.3473,-11.4598,0.0000,0.0000
0.8390,-140.8626,-11.4342,0.0000,0.0000
0.8490,-140.3077,-11.3772,0.0000,0.0000
0.8584,-139.7929,-11.2756,0.0000,0.0000
0.8690,-139.2875,-11.2212,0.0000,0.0000
0.8787,-138.7547,-11.2028,0.0000,0.0000
0.8889,-138.2134,-11.1308,0.0000,0.0000
0.8988,-137.7111,-11.1092,0.0000,0.0000
0.9088,-137.1786,-11.0865,0.0000,0.0000
0.9187,-136.5875,-11.0267,0.0000,0.0000
0.9283,-135.9213,-10.9964,0.0000,0.0000
0.9385,-135.2262,-10.9819,0.0000,0.0000
0.9490,-134.5303,-10.9146,0.0000,0.0000
0.9810,-133.2231,-10.8677,0.0000,0.0000
0.9831,-132.6084,-10.8728,0.0000,0.0000
0.9887,-132.0025,-10.8673,0.0000,0.0000
1.0116,-131.4408,-10.8600,0.0000,0.0000
1.0141,-130.9080,-10.8119,0.0000,0.0000
1.0184,-130.3712,-10.7335,0.0000,0.0000
1.0417,-129.8752,-10.6677,0.0000,0.0000
1.0441,-129.4493,-10.5978,0.0000,0.0000
1.0486,-129.0776,-10.5341,0.0000,0.0000
1.0588,-128.7381,-10.4869,0.0000,0.0000
1.0684,-128.4247,-10.4512,0.0000,0.0000
1.0791,-128.1135,-10.4326,0.0000,0.0000
1.0887,-127.7953,-10.4202,0.0000,0.0000
1.0988,-127.2170,-10.4333,0.0000,0.0000
1.1088,-126.2519,-10.4818,0.0000,0.0000
1.1189,-125.1415,-10.5039,0.0000,0.0000
1.1501,-123.1766,-10.2571,0.0000,0.0000
1.1524,-122.4224,-10.1535,0.0000,0.0000
1.1586,-121.6787,-10.0272,0.0000,0.0000
1.1875,-120.2070,-9.8718,0.0000,0.0000
1.1902,-119.6309,-9.8035,0.0000,0.0000
1.1987,-119.1576,-9.7652,0.0000,0.0000
1.2239,-118.7177,-9.7383,0.0000,0.0000
1.2262,-118.0661,-9.6839,0.0000,0.0000
1.2284,-116.9327,-9.6958,0.0000,0.0000
1.2578,-114.4077,-9.5884,0.0000,0.0000
1.2598,-113.5944,-9.4697,0.0000,0.0000
1.2688,-112.9237,-9.2874,0.0000,0.0000
1.2895,-112.2627,-9.2158,0.0000,0.0000
1.2919,-111.8192,-9.1741,0.0000,0.0000
1.2986,-111.5543,-9.1726,0.0000,0.0000
1.3291,-111.1635,-9.1538,0.0000,0.0000
1.3314,-110.8302,-9.1384,0.0000,0.0000
1.3384,-110.5370,-9.0989,0.0000,0.0000
1.3720,-110.1725,-9.0687,0.0000,0.0000
1.3742,-109.8452,-9.0490,0.0000,0.0000
1.3786,-109.4333,-9.0399,0.0000,0.0000
1.4147,-108.8394,-9.0270,0.0000,0.0000
1.4169,-108.6618,-9.0270,0.0000,0.0000
1.4200,-108.4317,-9.0378,0.0000,0.0000
1.4290,-108.1568,-9.0025,0.0000,0.0000
